date,vehicle_id,vehicle_type,stops_used,opt_km,baseline_alpha_km,savings_vs_alpha_km,savings_vs_alpha_pct,baseline_random_mean_km,baseline_random_p10_km,baseline_random_p90_km,savings_vs_random_mean_km,savings_vs_random_mean_pct,random_iters,random_seed
2025-12-22,3286,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-22,3547,UNKNOWN,13,10.399,17.852,7.453,41.75,24.668,21.427,27.276,14.269,57.84,50,42
2025-12-22,3615,UNKNOWN,27,27.29,39.547,12.257,30.99,111.118,98.862,121.407,83.828,75.44,50,42
2025-12-22,4257,UNKNOWN,17,24.005,47.415,23.41,49.37,100.773,77.79,116.471,76.768,76.18,50,42
2025-12-22,4527,UNKNOWN,6,14.677,14.677,0.0,0.0,24.405,19.908,28.811,9.728,39.86,50,42
2025-12-22,4582,UNKNOWN,8,13.606,14.891,1.285,8.63,31.935,25.485,37.82,18.329,57.4,50,42
2025-12-22,4657,UNKNOWN,15,12.648,12.868,0.22,1.71,25.954,19.157,29.879,13.306,51.27,50,42
2025-12-22,4811,UNKNOWN,6,9.722,10.622,0.899,8.47,17.051,11.351,19.832,7.329,42.98,50,42
2025-12-22,5012,UNKNOWN,8,16.347,16.347,0.0,0.0,31.813,24.877,38.394,15.466,48.62,50,42
2025-12-22,5333,UNKNOWN,11,7.626,9.213,1.587,17.22,17.425,14.222,20.306,9.799,56.23,50,42
2025-12-22,5506,UNKNOWN,15,13.824,16.073,2.249,13.99,34.792,27.823,39.387,20.968,60.27,50,42
2025-12-22,5552,UNKNOWN,15,11.305,13.282,1.977,14.89,29.168,23.661,32.851,17.863,61.24,50,42
2025-12-22,5557,UNKNOWN,8,23.046,25.279,2.233,8.83,68.92,48.84,84.834,45.874,66.56,50,42
2025-12-22,5803,UNKNOWN,17,14.919,21.283,6.364,29.9,45.328,40.117,50.675,30.409,67.09,50,42
2025-12-22,6514,UNKNOWN,7,13.163,13.163,0.0,0.0,28.009,20.529,34.715,14.846,53.0,50,42
2025-12-22,6574,UNKNOWN,31,31.482,49.518,18.037,36.42,102.314,91.301,112.822,70.832,69.23,50,42
2025-12-22,6635,UNKNOWN,22,13.836,15.102,1.266,8.39,37.372,31.399,40.974,23.536,62.98,50,42
2025-12-22,6881,UNKNOWN,8,13.362,13.613,0.251,1.84,22.635,18.752,26.832,9.272,40.97,50,42
