date,vehicle_id,vehicle_type,stop_order,Mahalle,latitude,longitude,distance_from_prev_km
2025-12-20,5506,Large Garbage Truck,1,Dumlupinar Mh.,40.223566485,28.8378875,0.0
2025-12-20,5506,Large Garbage Truck,2,Fethiye Mh.,40.23173064099735,28.974508696288748,11.634
2025-12-20,6514,Small Garbage Truck,1,Esentepe Mh.,40.22348698062251,28.99069352794343,0.0
2025-12-20,6574,Small Garbage Truck,1,Kultur Mh.,40.200249465,28.9648605,0.0
2025-12-20,7912,Small Garbage Truck,1,Kultur Mh.,40.200249465,28.9648605,0.0
2025-12-20,9935,Large Garbage Truck,1,Ayvakoy Mh.,40.12693931496138,28.70113499365815,0.0
2025-12-20,9935,Large Garbage Truck,2,Fadilli Mh.,40.153838,28.7091755,3.068
2025-12-20,9935,Large Garbage Truck,3,Korubasi Mh.,40.104227025,28.749262131473632,6.484
2025-12-20,9935,Large Garbage Truck,4,Kurucesme Mh.,40.125695829132766,28.822310411638973,6.655
2025-12-20,9935,Large Garbage Truck,5,Maksempinari Mh.,40.12811649,28.76681394,4.726
2025-12-20,9935,Large Garbage Truck,6,Uncukuru Mh.,40.11845090527286,28.72732823173819,3.525
2025-12-20,9935,Large Garbage Truck,7,Yolcati Mh.,40.25811501,28.8694505,19.67
2025-12-21,1409,Large Garbage Truck,1,Dumlupinar Mh.,40.223566485,28.8378875,0.0
2025-12-21,2824,Large Garbage Truck,1,Gorukle Mh.,40.230138960000005,28.843193880000005,0.0
2025-12-22,1409,Large Garbage Truck,1,Ucevler Mh.,40.1998565,28.947401,0.0
2025-12-22,1409,Large Garbage Truck,2,Ucevler Mh.,40.1998565,28.947401,0.0
2025-12-22,1434,Large Garbage Truck,1,Alaaddinbey Mh.,40.2086475,28.92314448,0.0
2025-12-22,1434,Large Garbage Truck,2,Kadriye Mh.,40.09270964374126,28.86816272078864,13.713
2025-12-22,1434,Large Garbage Truck,3,Ucpinar Mh.,40.1029799833047,28.840132581273483,2.644
2025-12-22,1488,Large Garbage Truck,1,Atlas Mh.,40.12221097784862,28.8869401429014,0.0
2025-12-22,1488,Large Garbage Truck,2,Badirga Mh.,40.2469685,28.69442244,21.445
2025-12-22,1488,Large Garbage Truck,3,Baskoy Mh.,40.21226591331904,28.74959897704878,6.069
2025-12-22,1488,Large Garbage Truck,4,Catalagil Mh.,40.21763428660456,28.70559812927568,3.784
2025-12-22,1488,Large Garbage Truck,5,Cayli Mh.,40.27456808640988,28.74523837386844,7.169
2025-12-22,1488,Large Garbage Truck,6,Irfaniye Mh.,40.23388919234314,28.815429137902697,7.479
