date,vehicle_id,total_dist_km,total_idle_sec,total_stop_sec,first_ts,last_ts,odo_min,odo_max,records,odo_dist_km,work_duration_sec,total_idle_hr,total_stop_hr,work_duration_hr
2025-12-19,5552,299383.75,0.0,976811.0,2025-12-19 00:02:38,2025-12-19 23:57:39,184566.87,184765.32,3225,198.45000000001164,86101.0,0.0,271.3363888888889,23.916944444444443
2025-12-19,5557,190536.92,26754.0,493380.0,2025-12-19 00:03:42,2025-12-19 23:55:44,115971.8,116119.13,2555,147.33000000000175,85922.0,7.431666666666667,137.05,23.86722222222222
2025-12-19,5803,61123.02,27409.0,27409.0,2025-12-19 06:56:43,2025-12-19 14:30:24,143543.34,143633.46,1638,90.11999999999534,27221.0,7.613611111111111,7.613611111111111,7.561388888888889
2025-12-19,6514,195162.62,42699.0,1760674.0,2025-12-19 00:00:00,2025-12-19 23:59:55,114069.26,114237.97,2604,168.7100000000064,86395.0,11.860833333333334,489.0761111111111,23.99861111111111
2025-12-19,6574,161965.73,56822.0,750442.0,2025-12-19 00:08:48,2025-12-19 23:59:55,144174.62,144325.34,2649,150.72000000000116,85867.0,15.783888888888889,208.4561111111111,23.851944444444445
2025-12-19,6635,304569.62,57807.0,28031519.0,2025-12-19 00:00:13,2025-12-19 23:59:12,202958.01,203031.43,9221,73.4199999999837,86339.0,16.0575,7786.533055555556,23.983055555555556
2025-12-19,6881,32436.0,7554602.0,7554602.0,2025-12-19 00:06:27,2025-12-19 23:57:04,263278.95,263337.26,1286,58.30999999999767,85837.0,2098.5005555555554,2098.5005555555554,23.843611111111112
2025-12-19,7201,59249.81,1056256.0,1056256.0,2025-12-19 00:07:26,2025-12-19 23:52:37,2283.45,2369.07,1700,85.62000000000035,85511.0,293.40444444444444,293.40444444444444,23.753055555555555
2025-12-19,7224,16.49,0.0,3337809.0,2025-12-19 00:08:59,2025-12-19 18:15:37,145058.66,145059.48,121,0.8200000000069849,65198.0,0.0,927.1691666666667,18.110555555555557
2025-12-19,7873,51546.44,17829.0,4793807.0,2025-12-19 00:04:19,2025-12-19 23:55:27,105402.01,105475.7,1849,73.69000000000233,85868.0,4.9525,1331.6130555555555,23.852222222222224
2025-12-19,7912,24964.88,48361.0,2970996.0,2025-12-19 00:00:30,2025-12-19 23:57:56,79525.83,79576.12,1395,50.2899999999936,86246.0,13.43361111111111,825.2766666666666,23.95722222222222
2025-12-19,7924,251105.44,55653.0,708896.0,2025-12-19 00:00:04,2025-12-19 23:59:27,180246.48,180423.29,3228,176.80999999999767,86363.0,15.459166666666667,196.91555555555556,23.989722222222223
2025-12-19,8359,65691.45,62491.0,4419998.0,2025-12-19 00:07:26,2025-12-19 23:56:28,118844.46,118936.38,1459,91.91999999999825,85742.0,17.35861111111111,1227.7772222222222,23.817222222222224
2025-12-19,8527,209269.9,31594.0,2769468.0,2025-12-19 00:07:50,2025-12-19 23:58:34,173875.4,174154.19,2383,278.79000000000815,85844.0,8.776111111111112,769.2966666666666,23.845555555555556
2025-12-19,9279,118749.08,0.0,1017665.0,2025-12-19 00:08:24,2025-12-19 23:59:55,95822.41,95942.65,2219,120.23999999999069,85891.0,0.0,282.6847222222222,23.85861111111111
2025-12-19,9785,21757.67,29760.0,1079917.0,2025-12-19 00:09:03,2025-12-19 23:55:02,173372.76,173423.09,1003,50.329999999987194,85559.0,8.266666666666667,299.9769444444444,23.76638888888889
2025-12-19,9928,89034.57,20094.0,699676.0,2025-12-19 00:10:29,2025-12-19 23:53:01,47655.51,47756.8,1776,101.29000000000087,85352.0,5.581666666666667,194.35444444444445,23.70888888888889
2025-12-20,1106,438224.97,41682.0,1187588.0,2025-12-20 00:03:09,2025-12-20 23:57:44,169825.45,169965.04,2679,139.5899999999965,86075.0,11.578333333333333,329.8855555555556,23.90972222222222
2025-12-20,1409,4.859999999999999,0.0,5769145.0,2025-12-20 00:07:52,2025-12-20 23:57:48,167401.58,167401.58,162,0.0,85796.0,0.0,1602.5402777777779,23.83222222222222
2025-12-20,1434,684096.24,444780.0,444950.0,2025-12-20 00:00:10,2025-12-20 23:58:24,217921.72,218056.5,3550,134.77999999999884,86294.0,123.55,123.59722222222223,23.970555555555556
2025-12-20,1488,487194.38,19034.0,2829519.0,2025-12-20 00:00:38,2025-12-20 23:59:13,198678.37,198910.72,1552,232.35000000000582,86315.0,5.287222222222222,785.9775,23.976388888888888
2025-12-20,1520,328916.23,15987.0,4528633.0,2025-12-20 00:00:37,2025-12-20 23:51:15,198763.27,198877.7,1869,114.43000000002212,85838.0,4.440833333333333,1257.953611111111,23.843888888888888
2025-12-20,1711,1263673.14,170978.0,28496312.0,2025-12-20 00:00:11,2025-12-20 23:59:09,366328.54,366398.13,9005,69.59000000002561,86338.0,47.49388888888889,7915.642222222222,23.982777777777777
2025-12-20,2291,1183110.84,32867.0,10068246.0,2025-12-20 00:00:12,2025-12-20 23:59:59,28183.08,28267.1,9559,84.0199999999968,86387.0,9.129722222222222,2796.735,23.996388888888887
2025-12-20,2424,90461.25,21341.0,3050454.0,2025-12-20 00:03:29,2025-12-20 23:53:11,18567.86,18616.71,1231,48.849999999998545,85782.0,5.928055555555556,847.3483333333334,23.828333333333333
2025-12-20,2519,115367.56,26296.0,73276.0,2025-12-20 06:59:07,2025-12-20 15:57:34,25789.64,25867.97,1337,78.33000000000175,32307.0,7.304444444444444,20.354444444444443,8.974166666666667
2025-12-20,2535,460885.33,27387.0,1118380.0,2025-12-20 00:06:23,2025-12-20 23:57:36,98454.31,98573.49,2574,119.18000000000757,85873.0,7.6075,310.6611111111111,23.85361111111111
2025-12-20,2584,262048.26,19842.0,3092555.0,2025-12-20 00:00:04,2025-12-20 23:54:11,158730.51,158802.66,1832,72.14999999999418,86047.0,5.511666666666667,859.0430555555556,23.901944444444446
2025-12-20,2674,145029.94,0.0,4107017.0,2025-12-20 00:03:44,2025-12-20 23:57:19,158124.0,158191.6,1545,67.60000000000582,86015.0,0.0,1140.8380555555555,23.893055555555556
2025-12-20,2679,127927.52,20915.0,2124867.0,2025-12-20 00:07:10,2025-12-20 23:55:38,236677.55,236735.23,1483,57.68000000002212,85708.0,5.809722222222222,590.2408333333333,23.807777777777776
2025-12-20,2824,80685.19,24883.0,2532165.0,2025-12-20 00:09:36,2025-12-20 23:57:13,98801.08,98847.04,1142,45.95999999999185,85657.0,6.911944444444444,703.3791666666667,23.79361111111111
2025-12-20,3045,90144.26,23713.0,1188026.0,2025-12-20 06:38:10,2025-12-20 23:53:16,183261.75,183329.66,1142,67.91000000000349,62106.0,6.586944444444445,330.0072222222222,17.251666666666665
2025-12-20,3286,107494.63,24120.0,2990466.0,2025-12-20 00:08:59,2025-12-20 23:50:35,203162.49,203214.39,1337,51.90000000002328,85296.0,6.7,830.685,23.69333333333333
