date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency
2025-12-20,Cumartesi,DAĞYENİCE MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,DEMİRCİ MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,DOĞANKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-20,Cumartesi,ESENTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-20,Cumartesi,FADILLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,FETHİYE MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-20,Cumartesi,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-20,Cumartesi,GÜMÜŞTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-20,Cumartesi,GÜNGÖREN MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,HASANAĞA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,İHSANİYE MAHALLESİ,1,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-20,Cumartesi,KIZILCIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,KONAK MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-20,Cumartesi,KORUBAŞI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,KURTULUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,KURUÇEŞME MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,KÜLTÜR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,KÜLTÜR MAHALLESİ,0,Small Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,MAKSEMPINAR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,MİNARELİÇAVUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,UNÇUKURU MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-20,Cumartesi,YOLÇATI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-21,Pazar,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-21,Pazar,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-22,Pazartesi,19 MAYIS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,30 AĞUSTOS MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,AKÇALAR MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ALAADİNBEY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ATLAS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,BADIRGA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,BARIŞ MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,BAŞKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,BÜYÜKBALIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,CUMHURİYET MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÇALI MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÇATALAĞIL MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÇAYLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-22,Pazartesi,ERTUĞRUL MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ESENTEPE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ESENTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-22,Pazartesi,FETHİYE MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-22,Pazartesi,GÖKÇE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-22,Pazartesi,GÜMÜŞTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-22,Pazartesi,HASANAĞA MAHALLESİ,0,Small Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,IŞIKTEPE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,İHSANİYE MAHALLESİ,1,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
