date,vehicle_id,vehicle_type,stops,total_distance_km
2025-12-22,1434,UNKNOWN,16,8.5
2025-12-22,1488,UNKNOWN,11,6.79
2025-12-22,1520,UNKNOWN,1,0.0
2025-12-22,1711,UNKNOWN,4,19.59
2025-12-22,2291,UNKNOWN,12,27.19
2025-12-22,2424,UNKNOWN,22,15.38
2025-12-22,2519,UNKNOWN,8,9.51
2025-12-22,2535,UNKNOWN,4,10.01
2025-12-22,2584,UNKNOWN,12,21.9
2025-12-22,2674,UNKNOWN,12,10.29
2025-12-22,2679,UNKNOWN,7,8.42
2025-12-22,2824,UNKNOWN,13,6.75
2025-12-22,3045,UNKNOWN,6,6.39
2025-12-22,3286,UNKNOWN,1,0.0
2025-12-22,3547,UNKNOWN,13,10.4
2025-12-22,3615,UNKNOWN,27,27.29
2025-12-22,4257,UNKNOWN,17,24.0
2025-12-22,4527,UNKNOWN,6,14.68
2025-12-22,4582,UNKNOWN,8,13.61
2025-12-22,4657,UNKNOWN,15,12.65
2025-12-22,4811,UNKNOWN,6,9.72
2025-12-22,5012,UNKNOWN,8,16.35
2025-12-22,5333,UNKNOWN,11,7.63
2025-12-22,5506,UNKNOWN,15,13.82
2025-12-22,5552,UNKNOWN,15,11.3
2025-12-22,5557,UNKNOWN,8,23.05
2025-12-22,5803,UNKNOWN,17,14.92
2025-12-22,6514,UNKNOWN,7,13.16
2025-12-22,6574,UNKNOWN,31,31.48
2025-12-22,6635,UNKNOWN,22,13.84
2025-12-22,6881,UNKNOWN,8,13.36
2025-12-22,7201,UNKNOWN,9,9.12
2025-12-22,7224,UNKNOWN,5,7.02
2025-12-22,7873,UNKNOWN,4,10.37
2025-12-22,7912,UNKNOWN,16,13.04
2025-12-22,7924,UNKNOWN,26,35.99
2025-12-22,8359,UNKNOWN,9,11.16
2025-12-22,8527,UNKNOWN,6,7.57
2025-12-22,9279,UNKNOWN,6,7.34
2025-12-22,9785,UNKNOWN,12,7.59
2025-12-22,9928,UNKNOWN,6,18.18
2025-12-23,1106,UNKNOWN,20,18.61
2025-12-23,1409,UNKNOWN,8,7.27
2025-12-23,1434,UNKNOWN,24,13.65
2025-12-23,1488,UNKNOWN,7,5.54
2025-12-23,1520,UNKNOWN,2,14.38
2025-12-23,1711,UNKNOWN,13,12.95
2025-12-23,2291,UNKNOWN,3,11.56
2025-12-23,2424,UNKNOWN,10,15.91
2025-12-23,2519,UNKNOWN,8,9.7
2025-12-23,2535,UNKNOWN,7,35.33
2025-12-23,2584,UNKNOWN,8,20.99
2025-12-23,2674,UNKNOWN,6,9.25
2025-12-23,2679,UNKNOWN,9,3.17
2025-12-23,2824,UNKNOWN,18,12.18
2025-12-23,3045,UNKNOWN,13,6.54
2025-12-23,3286,UNKNOWN,11,10.99
2025-12-23,3547,UNKNOWN,12,11.25
2025-12-23,3615,UNKNOWN,18,27.06
2025-12-23,4257,UNKNOWN,17,22.35
2025-12-23,4527,UNKNOWN,11,6.07
2025-12-23,4582,UNKNOWN,4,11.83
2025-12-23,4657,UNKNOWN,11,27.36
2025-12-23,4811,UNKNOWN,7,10.25
2025-12-23,5012,UNKNOWN,13,18.13
2025-12-23,5506,UNKNOWN,7,2.76
2025-12-23,5552,UNKNOWN,10,8.89
2025-12-23,5557,UNKNOWN,4,16.43
2025-12-23,5803,UNKNOWN,13,16.32
2025-12-23,6514,UNKNOWN,9,21.97
2025-12-23,6574,UNKNOWN,25,22.95
2025-12-23,6635,UNKNOWN,11,12.84
2025-12-23,6881,UNKNOWN,11,5.85
2025-12-23,7201,UNKNOWN,12,18.21
2025-12-23,7224,UNKNOWN,6,9.19
2025-12-23,7873,UNKNOWN,10,11.61
2025-12-23,7912,UNKNOWN,6,12.94
2025-12-23,7924,UNKNOWN,25,29.87
2025-12-23,8359,UNKNOWN,4,4.29
2025-12-23,8527,UNKNOWN,4,10.37
2025-12-23,9279,UNKNOWN,11,18.65
2025-12-23,9785,UNKNOWN,8,11.25
2025-12-23,9928,UNKNOWN,5,11.23
2025-12-24,1106,UNKNOWN,23,14.25
2025-12-24,1409,UNKNOWN,6,14.53
2025-12-24,1434,UNKNOWN,20,17.9
2025-12-24,1488,UNKNOWN,4,5.12
2025-12-24,1520,UNKNOWN,1,0.0
2025-12-24,1711,UNKNOWN,5,17.2
2025-12-24,2291,UNKNOWN,3,11.41
2025-12-24,2424,UNKNOWN,15,15.22
2025-12-24,2519,UNKNOWN,7,11.21
2025-12-24,2535,UNKNOWN,2,9.0
2025-12-24,2584,UNKNOWN,7,9.31
2025-12-24,2674,UNKNOWN,7,9.91
2025-12-24,2679,UNKNOWN,7,8.32
2025-12-24,2824,UNKNOWN,10,11.62
2025-12-24,3045,UNKNOWN,8,5.71
2025-12-24,3286,UNKNOWN,4,9.97
2025-12-24,3547,UNKNOWN,14,10.29
2025-12-24,3615,UNKNOWN,19,23.11
2025-12-24,4257,UNKNOWN,17,23.14
2025-12-24,4527,UNKNOWN,3,5.67
2025-12-24,4582,UNKNOWN,3,9.7
2025-12-24,4657,UNKNOWN,9,26.15
2025-12-24,4811,UNKNOWN,4,9.32
2025-12-24,5012,UNKNOWN,5,15.5
2025-12-24,5506,UNKNOWN,12,7.66
2025-12-24,5552,UNKNOWN,3,2.1
2025-12-24,5557,UNKNOWN,16,27.01
2025-12-24,5803,UNKNOWN,15,15.38
2025-12-24,6514,UNKNOWN,6,13.24
2025-12-24,6574,UNKNOWN,24,31.54
2025-12-24,6635,UNKNOWN,16,13.63
2025-12-24,6881,UNKNOWN,7,5.7
2025-12-24,7201,UNKNOWN,5,7.36
2025-12-24,7224,UNKNOWN,6,9.9
2025-12-24,7873,UNKNOWN,4,10.37
2025-12-24,7912,UNKNOWN,3,1.59
2025-12-24,7924,UNKNOWN,22,31.99
2025-12-24,8359,UNKNOWN,7,4.83
2025-12-24,8527,UNKNOWN,4,6.71
2025-12-24,9279,UNKNOWN,5,6.58
2025-12-24,9785,UNKNOWN,6,6.64
2025-12-24,9928,UNKNOWN,6,10.66
2025-12-24,9935,UNKNOWN,1,0.0
2025-12-25,1106,UNKNOWN,2,9.57
2025-12-25,1409,UNKNOWN,1,0.0
2025-12-25,1434,UNKNOWN,3,3.19
2025-12-25,1488,UNKNOWN,2,0.74
2025-12-25,2424,UNKNOWN,3,0.52
2025-12-25,2674,UNKNOWN,2,1.06
2025-12-25,2679,UNKNOWN,1,0.0
2025-12-25,2824,UNKNOWN,4,0.75
2025-12-25,3045,UNKNOWN,3,0.45
2025-12-25,3286,UNKNOWN,1,0.0
2025-12-25,3547,UNKNOWN,2,4.01
2025-12-25,3615,UNKNOWN,7,11.93
2025-12-25,4257,UNKNOWN,7,19.05
2025-12-25,4527,UNKNOWN,3,4.43
2025-12-25,4811,UNKNOWN,2,0.07
2025-12-25,5012,UNKNOWN,2,8.79
2025-12-25,5506,UNKNOWN,2,0.31
2025-12-25,5552,UNKNOWN,1,0.0
2025-12-25,5803,UNKNOWN,1,0.0
2025-12-25,6514,UNKNOWN,2,0.12
2025-12-25,6574,UNKNOWN,3,4.34
2025-12-25,6635,UNKNOWN,3,0.75
2025-12-25,6881,UNKNOWN,1,0.0
2025-12-25,7201,UNKNOWN,1,0.0
2025-12-25,7912,UNKNOWN,1,0.0
2025-12-25,7924,UNKNOWN,10,27.02
2025-12-25,8527,UNKNOWN,2,0.7
2025-12-25,9279,UNKNOWN,2,5.19
2025-12-25,9785,UNKNOWN,2,0.27
2025-12-25,9928,UNKNOWN,1,0.0
