date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency,Mahalle_norm,demand_score
2025-12-19,Cuma,YAYLACIK MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",YAYLACIK,0.22219837297554398
2025-12-20,Cumartesi,23 NİSAN MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",23 NISAN,0.6506293199795582
2025-12-20,Cumartesi,AHMET YESEVİ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",AHMET YESEVI,0.34019441797231526
2025-12-20,Cumartesi,ALTINŞEHİR MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",ALTINSEHIR,0.05764382591691276
2025-12-20,Cumartesi,ATAEVLER MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",ATAEVLER,0.7371619360251879
2025-12-20,Cumartesi,AYVAKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",AYVAKOY,0.030321448036722754
2025-12-20,Cumartesi,BALAT MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",BALAT,0.8427955576149866
2025-12-20,Cumartesi,BALKAN MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",BALKAN,0.7327681744354315
2025-12-20,Cumartesi,BEŞEVLER MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",BESEVLER,0.0735193755718485
2025-12-20,Cumartesi,ÇAMLICA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",CAMLICA,0.3279556666102943
2025-12-20,Cumartesi,DAĞYENİCE MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",DAGYENICE,0.1386399038283848
2025-12-20,Cumartesi,DEMİRCİ MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",DEMIRCI,0.5383415719073583
2025-12-20,Cumartesi,DOĞANKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",DOGANKOY,0.13898556860333403
2025-12-20,Cumartesi,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday",DUMLUPINAR,0.5392034770574226
2025-12-20,Cumartesi,ESENTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",ESENTEPE,0.5986364207955122
2025-12-20,Cumartesi,FADILLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",FADILLI,0.11235404754399635
2025-12-20,Cumartesi,FETHİYE MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",FETHIYE,0.5132512884057444
2025-12-20,Cumartesi,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday",GORUKLE,1.0
2025-12-20,Cumartesi,GÜMÜŞTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",GUMUSTEPE,0.27427760037583737
2025-12-20,Cumartesi,GÜNGÖREN MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",GUNGOREN,0.12407857212066302
2025-12-20,Cumartesi,HASANAĞA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",HASANAGA,0.1376963364062833
2025-12-20,Cumartesi,İHSANİYE MAHALLESİ,1,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",IHSANIYE,0.5410099752796164
2025-12-20,Cumartesi,KIZILCIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",KIZILCIKLI,0.2527762888390717
2025-12-20,Cumartesi,KONAK MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",KONAK,0.46872895151761734
2025-12-20,Cumartesi,KORUBAŞI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",KORUBASI,0.06537511826316575
2025-12-20,Cumartesi,KURTULUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",KURTULUS,0.24914874463014272
2025-12-20,Cumartesi,KURUÇEŞME MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",KURUCESME,0.02470172110997823
2025-12-20,Cumartesi,KÜLTÜR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",KULTUR,0.6344961591410876
2025-12-20,Cumartesi,KÜLTÜR MAHALLESİ,0,Small Garbage Truck,3.0,"Tuesday, Thursday, Saturday",KULTUR,0.6344961591410876
2025-12-20,Cumartesi,MAKSEMPINAR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",MAKSEMPINAR,0.02149636694703935
2025-12-20,Cumartesi,MİNARELİÇAVUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",MINARELICAVUS,0.38337546829458646
2025-12-20,Cumartesi,UNÇUKURU MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",UNCUKURU,0.0770792355514275
2025-12-20,Cumartesi,YOLÇATI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday",YOLCATI,0.1117944195414855
2025-12-21,Pazar,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday",DUMLUPINAR,0.5392034770574226
2025-12-21,Pazar,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday",GORUKLE,1.0
2025-12-22,Pazartesi,19 MAYIS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",19 MAYIS,0.42963024685607676
2025-12-22,Pazartesi,30 AĞUSTOS MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",30 AGUSTOS,0.0
2025-12-22,Pazartesi,AKÇALAR MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",AKCALAR,0.4453968508843078
2025-12-22,Pazartesi,ALAADİNBEY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",ALAADINBEY,0.0
2025-12-22,Pazartesi,ATLAS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",ATLAS,0.11498617127682799
2025-12-22,Pazartesi,BADIRGA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",BADIRGA,0.09499995046541938
